Experiment,Estimator,Noise Rate,Test Accuracy,Test AUC,EO_C1,DPD_C1,EOR_C1,PPD_C1,EO_C2,DPD_C2,EOR_C2,PPD_C2,filename
acsfoodstamps,lightgbm,0.3,0.7718,0.7552,0.2492,0.1186,0.1824,0.0776,0.0747,0.0934,0.1236,0.1231,concatenated
acsfoodstamps,mixup,0.3,0.8241,0.8286,0.1045,0.0502,0.0643,0.0444,0.045,0.0404,0.0591,0.0558,concatenated
acsfoodstamps,mlp,0.3,0.8147,0.8196,0.1399,0.0566,0.0861,0.0475,0.0545,0.0525,0.0713,0.0751,concatenated
acsfoodstamps,node,0.3,0.7986,0.7951,0.1249,0.0535,0.0763,0.0414,0.0503,0.0483,0.0655,0.0691,concatenated
acsfoodstamps,resnet,0.3,0.763,0.7516,0.1614,0.0691,0.1053,0.058,0.0647,0.0623,0.0844,0.089,concatenated
acsfoodstamps,tabtransformer,0.3,0.8129,0.8184,0.1131,0.0484,0.0696,0.0384,0.0468,0.045,0.0609,0.0643,concatenated
acsfoodstamps,vrex,0.3,0.8518,0.8671,0.0898,0.0269,0.0343,0.0236,0.0333,0.0203,0.0351,0.0514,concatenated
acsfoodstamps,group_dro,0.3,0.8264,0.8306,0.1078,0.023,0.0405,0.0179,0.0379,0.0436,0.0388,0.0333,concatenated
acsfoodstamps,ft_transformer,0.3,0.8372,0.8419,0.029,0.0175,0.0259,0.0274,0.0192,0.018,0.0191,0.0207,concatenated
acsfoodstamps,dro,0.3,0.8637,0.8802,0.1336,0.04,0.0507,0.0347,0.0489,0.0246,0.0515,0.0806,concatenated
acsfoodstamps,dann,0.3,0.8266,0.8307,0.0662,0.0223,0.0351,0.0205,0.0352,0.0302,0.0224,0.0484,concatenated
acsfoodstamps,catboost,0.3,0.7969,0.7801,0.1933,0.0816,0.1425,0.0378,0.0513,0.0689,0.0927,0.095,concatenated
acsfoodstamps,FairRS (equalized_odds),0.3,0.8323,0.8491,0.028,0.0244,0.028,0.0244,0.0962,0.0388,0.0962,0.0388,concatenated
acsfoodstamps,FairRS (demographic_parity),0.3,0.8323,0.8491,0.028,0.0244,0.028,0.0244,0.0962,0.0388,0.0962,0.0388,concatenated
acsfoodstamps,FairEG (equalized_odds),0.3,0.8319,0.5817,0.0059,0.0145,0.0059,0.0145,0.0037,0.0085,0.0037,0.0085,concatenated
acsfoodstamps,FairEG (demographic_parity),0.3,0.8317,0.5803,0.0032,0.0143,0.0032,0.0143,0.0148,0.012,0.0148,0.012,concatenated
acsfoodstamps,FairGS (equalized_odds),0.3,0.8322,0.8492,0.0278,0.0242,0.0278,0.0242,0.1015,0.0392,0.1015,0.0392,concatenated
acsfoodstamps,FairGS (demographic_parity),0.3,0.8322,0.8492,0.0278,0.0242,0.0278,0.0242,0.1015,0.0392,0.1015,0.0392,concatenated
acsincome,catboost,0.3,0.8249,0.8077,0.1831,0.0773,0.1348,0.0358,0.0485,0.0652,0.0878,0.0899,concatenated
acsincome,dann,0.3,0.8585,0.8637,0.0543,0.0183,0.0288,0.0168,0.0289,0.0248,0.0184,0.0398,concatenated
acsincome,dro,0.3,0.8944,0.9124,0.0882,0.0264,0.0334,0.0229,0.0323,0.0163,0.034,0.0533,concatenated
acsincome,ft_transformer,0.3,0.8711,0.8758,0.0275,0.0166,0.0246,0.0261,0.0182,0.0171,0.0182,0.0197,concatenated
acsincome,group_dro,0.3,0.8583,0.8636,0.0899,0.0192,0.0338,0.0149,0.0316,0.0363,0.0323,0.0277,concatenated
acsincome,lightgbm,0.3,0.8023,0.7844,0.2354,0.1121,0.1725,0.0734,0.0707,0.0883,0.1168,0.1163,concatenated
acsincome,mixup,0.3,0.8563,0.8622,0.087,0.0418,0.0536,0.0371,0.0375,0.0337,0.0492,0.0465,concatenated
acsincome,mlp,0.3,0.8469,0.854,0.1041,0.0421,0.0641,0.0353,0.0406,0.0391,0.0531,0.0559,concatenated
acsincome,node,0.3,0.8281,0.8212,0.0931,0.0399,0.0569,0.0309,0.0375,0.0361,0.0489,0.0516,concatenated
acsincome,resnet,0.3,0.7928,0.7803,0.1205,0.0515,0.0786,0.0432,0.0483,0.0464,0.0629,0.0664,concatenated
acsincome,tabtransformer,0.3,0.8449,0.8505,0.0843,0.0361,0.052,0.0287,0.035,0.0336,0.0455,0.048,concatenated
acsincome,vrex,0.3,0.8999,0.9165,0.0593,0.0178,0.0227,0.0156,0.022,0.0134,0.0231,0.034,concatenated
acsincome,FairRS (equalized_odds),0.3,0.8044,0.89,0.1449,0.1095,0.1449,0.1095,1.0,1.0,0.1395,0.033,concatenated
acsincome,FairRS (demographic_parity),0.3,0.8044,0.89,0.1449,0.1095,0.1449,0.1095,1.0,1.0,0.1395,0.033,concatenated
acsincome,FairEG (equalized_odds),0.3,0.8039,0.7252,0.0208,0.0553,0.0109,0.0553,0.75,0.5,0.0021,0.0286,concatenated
acsincome,FairEG (demographic_parity),0.3,0.8014,0.7201,0.0799,0.0147,0.0799,0.0147,0.7512,0.5,0.0812,0.0005,concatenated
acsincome,FairGS (equalized_odds),0.3,0.8044,0.8898,0.1379,0.1069,0.1379,0.1069,1.0,1.0,0.1749,0.0117,concatenated
acsincome,FairGS (demographic_parity),0.3,0.7952,0.8836,0.2234,0.0584,0.2234,0.0584,1.0,1.0,0.0,0.0386,concatenated
acspubcov,catboost,0.3,0.8555,0.8376,0.2012,0.0849,0.1481,0.0393,0.0533,0.0717,0.0965,0.0988,concatenated
acspubcov,dann,0.3,0.8897,0.8946,0.0598,0.0201,0.0317,0.0185,0.0318,0.0273,0.0203,0.0438,concatenated
acspubcov,dro,0.3,0.9247,0.9429,0.097,0.029,0.0368,0.0252,0.0355,0.0179,0.0374,0.0586,concatenated
acspubcov,ft_transformer,0.3,0.9026,0.9071,0.0302,0.0183,0.0271,0.0287,0.0201,0.0188,0.02,0.0217,concatenated
acspubcov,group_dro,0.3,0.8896,0.8945,0.0989,0.0211,0.0371,0.0164,0.0347,0.0399,0.0355,0.0305,concatenated
acspubcov,lightgbm,0.3,0.8345,0.8165,0.2588,0.1233,0.1897,0.0807,0.0777,0.0971,0.1284,0.1279,concatenated
acspubcov,mixup,0.3,0.8872,0.8925,0.0958,0.046,0.059,0.0408,0.0412,0.037,0.0542,0.0512,concatenated
acspubcov,mlp,0.3,0.8778,0.8842,0.1147,0.0464,0.0706,0.0389,0.0447,0.043,0.0583,0.0615,concatenated
acspubcov,node,0.3,0.8589,0.852,0.1025,0.0439,0.0626,0.034,0.0413,0.0397,0.0538,0.0567,concatenated
acspubcov,resnet,0.3,0.8222,0.8098,0.1326,0.0567,0.0864,0.0476,0.0531,0.0511,0.0692,0.0731,concatenated
acspubcov,tabtransformer,0.3,0.8761,0.8818,0.0928,0.0397,0.0572,0.0316,0.0385,0.037,0.0501,0.0528,concatenated
acspubcov,vrex,0.3,0.9309,0.9477,0.0653,0.0196,0.025,0.0172,0.0242,0.0148,0.0254,0.0374,concatenated
acspubcov,FairRS (equalized_odds),0.3,0.7839,0.7565,0.483,0.3854,0.483,0.3854,0.2242,0.0833,0.2242,0.0833,concatenated
acspubcov,FairRS (demographic_parity),0.3,0.7839,0.7565,0.483,0.3854,0.483,0.3854,0.2242,0.0833,0.2242,0.0833,concatenated
acspubcov,FairEG (equalized_odds),0.3,0.8,0.5913,0.0595,0.0416,0.0595,0.0416,0.0161,0.0083,0.0161,0.0083,concatenated
acspubcov,FairEG (demographic_parity),0.3,0.8019,0.6291,0.0387,0.0145,0.0387,0.0145,0.1071,0.009,0.1071,0.009,concatenated
acspubcov,FairGS (equalized_odds),0.3,0.7938,0.774,0.1342,0.041,0.1342,0.041,0.2362,0.0934,0.2362,0.0934,concatenated
acspubcov,FairGS (demographic_parity),0.3,0.8008,0.7767,0.0654,0.0003,0.0654,0.0003,0.2362,0.0934,0.2362,0.0934,concatenated
acsunemployment,catboost,0.3,0.8741,0.856,0.2173,0.0917,0.1599,0.0424,0.0576,0.0775,0.1043,0.1068,concatenated
acsunemployment,dann,0.3,0.9107,0.916,0.0647,0.0218,0.0343,0.02,0.0344,0.0296,0.0219,0.0473,concatenated
acsunemployment,dro,0.3,0.9679,0.9109,0.3653,0.0502,0.3367,0.0705,0.1434,0.0329,0.1203,0.1203,concatenated
acsunemployment,ft_transformer,0.3,0.9197,0.9243,0.0327,0.0198,0.0293,0.031,0.0217,0.0204,0.0217,0.0234,concatenated
acsunemployment,group_dro,0.3,0.9105,0.9159,0.1069,0.0228,0.0401,0.0177,0.0375,0.0432,0.0384,0.033,concatenated
acsunemployment,lightgbm,0.3,0.8518,0.8335,0.2794,0.133,0.2047,0.0871,0.084,0.1049,0.1388,0.1382,concatenated
acsunemployment,mixup,0.3,0.9089,0.9148,0.1035,0.0497,0.0638,0.0441,0.0446,0.04,0.0586,0.0553,concatenated
acsunemployment,mlp,0.3,0.8999,0.9073,0.124,0.0502,0.0763,0.042,0.0483,0.0464,0.063,0.0665,concatenated
acsunemployment,node,0.3,0.8813,0.8814,0.1108,0.0475,0.0677,0.0368,0.0447,0.0429,0.0582,0.0614,concatenated
acsunemployment,resnet,0.3,0.9695,0.9152,0.3254,0.0451,0.3005,0.0794,0.102,0.0242,0.0862,0.0944,concatenated
acsunemployment,tabtransformer,0.3,0.8982,0.9061,0.1003,0.043,0.0618,0.0341,0.0416,0.0399,0.0541,0.0571,concatenated
acsunemployment,vrex,0.3,0.0339,0.8079,0.0001,0.0001,0.0,0.0178,0.0,0.0,0.0,0.0117,concatenated
anes,catboost,0.3,0.7195,0.7026,0.1622,0.0684,0.1194,0.0317,0.043,0.0578,0.0778,0.0797,concatenated
